time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2025-01-02 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-02 09:30:00-05:00,buy,fill,204.0,GLD,stock,,0.0,,244.22000122070312,market,1,0.0
2025-02-18 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-02-18 09:30:00-05:00,sell,fill,204.0,GLD,stock,,0.0,,269.67999267578125,market,1,0.0
2025-02-19 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-02-19 09:30:00-05:00,buy,fill,194.0,GLD,stock,,0.0,,270.67999267578125,market,1,0.0
2025-02-26 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-02-26 09:30:00-05:00,sell,fill,194.0,GLD,stock,,0.0,,267.0799865722656,market,1,0.0
2025-03-05 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-05 09:30:00-05:00,buy,fill,194.0,GLD,stock,,0.0,,267.9700012207031,market,1,0.0
2025-03-11 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-11 10:30:00-04:00,sell,fill,194.0,GLD,stock,,0.0,,268.4700012207031,market,1,0.0
2025-03-12 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-12 10:30:00-04:00,buy,fill,194.0,GLD,stock,,0.0,,268.4700012207031,market,1,0.0
2025-03-25 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-25 10:30:00-04:00,sell,fill,194.0,GLD,stock,,0.0,,278.7799987792969,market,1,0.0
2025-03-28 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-28 10:30:00-04:00,buy,fill,187.0,GLD,stock,,0.0,,283.82000732421875,market,1,0.0
